燃油网约车,无限制,前海,不限,有车损30%，无车损20%,3%,个人户和商贸部改个人0.9折。所有过户车和单位车0.95折，，可医保外用药，可三方不一致。1、年龄25岁以上，NCD等级：0及以下；连续承保期间出险次数≤2；车上人员≥1万/座；2、交商分开录单，单交佣金0。不要单交强。车龄6年以内，超6年核过就可以出。可保7座。三者100-200万。不要车损要求，三者100万，座位每座10万，系数1折
燃油网约车,无限制,长江,个人或商贸,23%,3%,光博评分70分（含）以下，个人、商贸部0.9折，商贸部必改法人。6年内，可单商，必保车损+三者（最高150万）+座位座位1万起，不要过户车，不承保甘阿凉、宜宾身份证，被保人30岁以下不承保。商贸部必须改法人。禁保车型：比亚迪秦、哪吒、威马、特斯拉、飞凡、小鹏、力帆、蔚来、理想、岚图、高合、智己、腾势、赛力斯。）可附加免赔2000元；可附加三者医保外10万元；
燃油网约车,无限制,利宝,个人,21%,3%,0.9折起，无车损0.95折，三者最高150万，非过户，系统核过就可以出
燃油网约车,无限制,诚泰,不限,12%,3%,"川A,0.9折，按投保人，区分个人户，座位险只要≥1W；单位户0.95折，且座位险要求5W；单位户座位险不足5W的-2，不含损NCD1.2折。车龄6年内，只要5座（7座人工核过为准）。可改投被。商贸部需改法人。不要过户车。川F1.3折（可承保R/C/F)"
燃油网约车,无限制,现代,不限,20%,3%,"川A/G,系统自动评分，1-5A分，0.85折，5B-5C分，1折；5D-6A分，1.1折。车龄5年内，禁保：NCD＞1、过户车、新车，被保险人为：甘孜、阿坝、凉山不承保，三者的医保外用药可以选择2W、4W、5W、10W、15W、20W，座位的医保外用药不超过座位本身。单位车5分以内可承保"
燃油网约车,无限制,亚太,个人,21%,3%,套单，承保评分1-60分，0.95折，可不承保车损。川A/G
燃油网约车,无限制,泰山,不限,17%,3%,川A系数0.9 ，不要车损、过户车0.95折，/可改投被保险人 /三者100万。只要5座，可不保车损。成都牌照三者可以出200万；NCD<1.2。黑名单不可出单3。商贸部 投被必须改法人投保
燃油网约车,无限制,中华联合,租赁,5%,0%, 5座折扣1.2+208卡单2份，7座1.25 不加卡单，不分新旧。燃油暂停出单新车1折，旧车0.95折， 不分险种不分新旧；可单商；可不保车损，可混动备注：NCD1.2，折扣1.3折，NCD大于1.2的，可以提高系数保车损(1.35) ; 不保车损就是0.95；新车补川A行驶证费用正常。截止18日前，只要续保业务
燃油网约车,成都,恒邦,不限,27%,3%,0.9折，商贸部/单位0.95折。可过户。不分单套出，6年内，。NCD≤1，三者100-150万，座位1万起
燃油网约车,成都,北部湾,不限,30%,3%,个人、商贸部0.9折，公司户改投被为个人0.9折。过户车折扣0.95折。车龄6年内，三者≤150万，NCD≤1。无车损0.95折、7座系数1。可脱保、过户、新车。不要单交。年龄≥30岁。
燃油网约车,除成都外的四川地区,恒邦,个人,20%,3%,承保川M、川C，0.9折。不分单套出，6年内。NCD≤1，三者100-150万，座位1万起，可过户。
